mbs            pps            sysload        sysload_dev    missed_perc    missed_perc_dev
966.0          172658.0       5.1            0.00           13.7           0.00           
888.2          158706.8       5.2            0.00           6.1            0.32           
774.2          138374.0       5.0            0.00           0.0            0.00           
685.0          122370.8       4.7            0.00           0.0            0.00           
609.8          108960.8       4.5            0.00           0.0            0.00           
546.0          97618.0        4.2            0.00           0.0            0.00           
501.0          89565.5        4.1            0.00           0.0            0.00           
448.0          80063.6        3.9            0.00           0.0            0.00           
391.8          70031.8        3.8            0.00           0.0            0.00           
0              0                                                                          
