mbs            pps            sysload        sysload_dev    missed_perc    missed_perc_dev
627.0          1307258.6      10.8           0.32           0.0            0.00           
511.2          1066181.6      9.5            0.00           0.0            0.00           
481.2          1002852.8      8.9            0.32           0.0            0.00           
434.0          904506.0       8.9            0.00           0.0            0.00           
390.6          815161.2       8.4            0.00           0.0            0.00           
230.0          479541.4       6.9            0.00           0.0            0.00           
155.0          323148.4       6.0            0.00           0.0            0.00           
118.0          247068.2       5.8            0.00           0.0            0.00           
95.0           199172.8       5.5            0.00           0.0            0.00           
0              0                                                                          
