pps            pps_dev        mbs            mbs_dev        sysload        sysload_dev    
1307258.6      1291.31        627.0          0.63           10.8           0.32           
1066181.6      9799.80        511.2          4.45           9.5            0.00           
1002852.8      4019.11        481.2          1.95           8.9            0.32           
904506.0       165.82         434.0          0.00           8.9            0.00           
815161.2       3269.49        390.6          1.61           8.4            0.00           
479541.4       390.14         230.0          0.00           6.9            0.00           
323148.4       57.69          155.0          0.00           6.0            0.00           
247068.2       64.25          118.0          0.00           5.8            0.00           
199172.8       39.24          95.0           0.00           5.5            0.00           
