8 		97.5603			0.0671
16 		93.1433			0.0078
32 		84.5067			0.646
64 		66.7752			0.066
128 	31.6523			0.939
256 	0.010156		0.002
512 	0.0145493		0.0036
1024 	0.0344647		0.008
2048 	0.000764		0.0001
4096 	0.0370587		0.006
