pps            pps_dev        mbs            mbs_dev        sysload        sysload_dev    
558055.2       4.67           892.0          0.00           7.0            0.00           
479821.6       247.37         767.2          0.45           6.9            0.00           
442004.0       571.84         706.6          1.00           6.6            0.00           
324099.6       71.74          518.0          0.00           6.1            0.00           
247811.6       117.75         396.0          0.00           5.8            0.00           
199179.2       48.26          318.0          0.00           5.5            0.00           
166079.0       35.96          265.0          0.00           5.4            0.00           
124695.2       27.61          199.0          0.00           5.2            0.00           
99902.2        16.83          159.0          0.00           5.2            0.00           
